,Date,Close Prices,"ARIMA_50.0_(0, 0, 0)_Predictions","ARIMA_50.0_(0, 0, 1)_Predictions","ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(0, 1, 1)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions","ARIMA_50.0_(1, 0, 1)_Predictions","ARIMA_50.0_(1, 1, 0)_Predictions"
0,2015-01-19,48.79,95.13,77.9,47.62,47.6,48.14,48.12,47.6
1,2015-01-26,52.99,95.01,69.55,48.72,48.73,49.23,49.26,48.73
2,2015-02-02,57.8,94.91,80.45,52.93,52.96,53.41,53.48,52.97
3,2015-02-09,57.39,94.81,75.0,57.76,57.81,58.2,58.29,57.81
4,2015-02-16,60.22,94.72,79.32,57.35,57.34,57.79,57.79,57.34
5,2015-02-23,62.58,94.63,77.89,60.18,60.21,60.6,60.65,60.22
6,2015-03-02,59.73,94.55,81.14,62.55,62.57,62.93,62.98,62.58
7,2015-03-09,54.67,94.46,75.69,59.69,59.66,60.1,60.07,59.66
8,2015-03-16,55.32,94.36,75.94,54.62,54.56,55.08,55.0,54.55
9,2015-03-23,56.41,94.26,76.15,55.27,55.28,55.72,55.74,55.28
10,2015-03-30,54.95,94.17,76.83,56.36,56.38,56.8,56.83,56.38
11,2015-04-06,57.87,94.07,74.83,54.9,54.88,55.35,55.33,54.88
12,2015-04-13,63.45,93.98,79.07,57.83,57.86,58.25,58.3,57.86
13,2015-04-20,65.28,93.9,80.15,63.42,63.49,63.78,63.9,63.51
14,2015-04-27,66.46,93.83,80.74,65.26,65.28,65.6,65.64,65.29
15,2015-05-04,65.39,93.76,81.18,66.44,66.46,66.76,66.79,66.46
16,2015-05-11,66.57,93.69,79.78,65.37,65.35,65.7,65.69,65.35
17,2015-05-18,65.37,93.63,81.98,66.55,66.57,66.87,66.9,66.57
18,2015-05-25,65.56,93.56,78.92,65.35,65.33,65.68,65.66,65.33
19,2015-06-01,63.31,93.49,81.7,65.54,65.54,65.86,65.88,65.54
20,2015-06-08,63.87,93.41,77.19,63.28,63.25,63.63,63.6,63.25
21,2015-06-15,63.02,93.34,81.59,63.84,63.85,64.19,64.21,63.85
22,2015-06-22,63.26,93.27,76.88,62.99,62.98,63.34,63.34,62.98
23,2015-06-29,62.07,93.2,81.17,63.23,63.24,63.58,63.59,63.24
24,2015-07-06,58.73,93.12,76.26,62.04,62.02,62.4,62.38,62.02
25,2015-07-13,57.52,93.04,77.56,58.69,58.64,59.08,59.03,58.64
26,2015-07-20,54.62,92.95,75.25,57.48,57.46,57.88,57.87,57.46
27,2015-07-27,52.21,92.86,74.63,54.57,54.53,54.99,54.95,54.52
28,2015-08-03,48.61,92.76,72.93,52.16,52.12,52.59,52.56,52.11
29,2015-08-10,49.03,92.66,71.14,48.55,48.49,49.01,48.94,48.48
30,2015-08-17,45.46,92.55,72.98,48.97,48.98,49.42,49.45,48.98
31,2015-08-24,50.05,92.44,68.07,45.39,45.33,45.86,45.8,45.32
32,2015-08-31,49.61,92.34,76.37,49.99,50.06,50.44,50.54,50.07
33,2015-09-07,48.14,92.24,68.52,49.55,49.54,49.99,50.0,49.54
34,2015-09-14,47.47,92.13,74.07,48.08,48.06,48.53,48.51,48.05
35,2015-09-21,48.6,92.03,68.43,47.41,47.4,47.86,47.86,47.4
36,2015-09-28,48.13,91.93,74.33,48.54,48.56,48.98,49.01,48.56
37,2015-10-05,52.65,91.82,68.56,48.07,48.06,48.51,48.51,48.06
38,2015-10-12,48.73,91.73,77.61,52.6,52.66,53.01,53.1,52.67
39,2015-10-19,47.99,91.63,65.99,48.67,48.62,49.1,49.05,48.62
40,2015-10-26,49.56,91.53,75.56,47.93,47.92,48.36,48.36,47.92
41,2015-11-02,47.42,91.43,68.34,49.5,49.52,49.92,49.96,49.52
42,2015-11-09,43.61,91.33,72.76,47.36,47.33,47.79,47.77,47.33
43,2015-11-16,44.66,91.22,65.32,43.54,43.49,43.99,43.94,43.49
44,2015-11-23,44.86,91.11,72.77,44.59,44.6,45.04,45.06,44.61
45,2015-11-30,43.0,91.01,66.19,44.79,44.79,45.23,45.24,44.79
46,2015-12-07,37.93,90.9,70.28,42.93,42.91,43.37,43.35,42.9
47,2015-12-14,36.88,90.77,61.98,37.85,37.78,38.31,38.24,37.77
48,2015-12-21,37.89,90.65,68.33,36.79,36.78,37.26,37.25,36.78
49,2015-12-28,37.28,90.53,63.41,37.81,37.82,38.26,38.29,37.82
50,2016-01-04,33.55,90.41,67.14,37.19,37.19,37.65,37.65,37.19
51,2016-01-11,31.01,90.28,60.32,33.46,33.41,33.92,33.87,33.4
52,2016-01-18,32.18,90.15,64.02,30.91,30.88,31.38,31.34,30.87
53,2016-01-25,34.74,90.01,61.58,32.08,32.1,32.54,32.58,32.1
54,2016-02-01,34.06,89.89,65.93,34.65,34.69,35.1,35.16,34.69
55,2016-02-08,33.36,89.76,61.27,33.97,33.96,34.42,34.42,33.96
56,2016-02-15,33.01,89.64,64.69,33.27,33.26,33.72,33.71,33.26
57,2016-02-22,35.1,89.51,61.15,32.92,32.91,33.36,33.37,32.91
58,2016-02-29,38.72,89.39,66.08,35.01,35.04,35.45,35.5,35.05
59,2016-03-07,40.39,89.27,64.76,38.64,38.7,39.06,39.15,38.71
60,2016-03-14,41.2,89.17,67.34,40.31,40.34,40.73,40.77,40.35
61,2016-03-21,40.44,89.06,65.62,41.13,41.14,41.53,41.56,41.14
62,2016-03-28,39.66,88.95,66.37,40.36,40.35,40.77,40.77,40.35
63,2016-04-04,41.94,88.84,64.86,39.58,39.57,39.99,39.99,39.57
64,2016-04-11,43.1,88.74,68.16,41.87,41.91,42.26,42.32,41.91
65,2016-04-18,45.11,88.64,66.12,43.03,43.05,43.42,43.45,43.05
66,2016-04-25,48.13,88.54,69.67,45.04,45.08,45.42,45.47,45.09
67,2016-05-02,45.37,88.45,69.09,48.07,48.13,48.43,48.5,48.14
68,2016-05-09,47.83,88.36,67.04,45.31,45.26,45.68,45.63,45.25
69,2016-05-16,48.72,88.27,70.99,47.77,47.81,48.13,48.19,47.82
70,2016-05-23,49.32,88.19,68.15,48.66,48.68,49.01,49.04,48.68
