,Train Split,Order,MSE,MAPE
0,0.80,"[(0, 0, 0)]",[707.9188167661353],[0.4471792406318853]
1,0.80,"[(0, 0, 1)]",[206.1451876766238],[0.23812125752095703]
2,0.80,"[(0, 1, 0)]",[14.802321192602394],[0.04668299713716933]
3,0.80,"[(0, 1, 1)]",[14.897707405255838],[0.04662954781895507]
4,0.80,"[(0, 1, 2)]",[15.033841402819329],[0.04633782336034347]
5,0.80,"[(0, 2, 0)]",[30.868374057226156],[0.06259168968135687]
6,0.80,"[(0, 2, 1)]",[15.188012713436137],[0.04718688196679721]
7,0.80,"[(1, 0, 0)]",[14.834556387656809],[0.04654546707221434]
8,0.80,"[(1, 0, 1)]",[14.929789381688137],[0.04656653219963965]
9,0.80,"[(1, 0, 2)]",[15.072743800844236],[0.04630475913426122]
10,0.80,"[(1, 1, 0)]",[14.90940222349036],[0.0466129077937476]
11,0.80,"[(1, 2, 0)]",[23.41269775819504],[0.055194746508592574]
12,0.80,"[(1, 2, 1)]",[14.94969917222761],[0.04692112158280189]
13,0.80,"[(1, 2, 2)]",[14.966866055723154],[0.04586168301769529]
14,0.80,"[(2, 0, 0)]",[14.943088646751104],[0.0465583632433571]
15,0.80,"[(2, 0, 1)]",[14.897561689798225],[0.04619053291045411]
16,0.80,"[(2, 0, 2)]",[14.85834274510344],[0.046216241860485154]
17,0.80,"[(2, 1, 0)]",[15.045649221333074],[0.04623927013041999]
18,0.80,"[(2, 1, 1)]",[14.896225335330026],[0.04586504313428538]
19,0.80,"[(2, 2, 0)]",[18.022907832284496],[0.05091276143719826]
20,0.80,"[(2, 2, 2)]",[15.269918272724238],[0.04655026616319971]
21,0.80,"[(3, 0, 0)]",[15.084708837453858],[0.04623306567324056]
22,0.80,"[(3, 0, 1)]",[15.225619244507302],[0.04614737813372405]
23,0.80,"[(3, 0, 2)]",[15.041609322240621],[0.046488396644280824]
24,0.80,"[(3, 1, 0)]",[14.764518170937121],[0.04603048432369072]
25,0.80,"[(3, 1, 1)]",[14.796115878830156],[0.045911530362498953]
26,0.80,"[(3, 1, 2)]",[15.11846776656046],[0.04602472182996658]
27,0.80,"[(3, 2, 0)]",[18.097026940982662],[0.049282997153053454]
28,0.80,"[(3, 2, 1)]",[14.803164719909827],[0.04623260415825114]
29,0.80,"[(4, 0, 0)]",[14.765085687174475],[0.04604609411161731]
30,0.80,"[(4, 0, 1)]",[14.776467831462725],[0.04580071386963818]
31,0.80,"[(4, 0, 2)]",[15.129912540278534],[0.046367928338322914]
32,0.80,"[(4, 1, 0)]",[15.005851276919108],[0.04589537048553273]
33,0.80,"[(4, 1, 1)]",[15.079458988481589],[0.045893182201585885]
34,0.80,"[(4, 1, 2)]",[15.085710159528425],[0.04604612784737337]
35,0.80,"[(4, 2, 0)]",[17.784616638358802],[0.04799853787192376]
36,0.80,"[(4, 2, 1)]",[15.051509972454514],[0.045931284596162476]
37,0.80,"[(4, 2, 2)]",[15.089876415495178],[0.04585415526435753]
38,0.50,"[(0, 0, 0)]",[899.3329397220689],[0.5230418321066045]
39,0.50,"[(0, 0, 1)]",[255.6589140832478],[0.2762853715662463]
40,0.50,"[(0, 1, 0)]",[9.186864302122412],[0.038531909726442805]
41,0.50,"[(0, 1, 1)]",[9.208057415109604],[0.03848079943813586]
42,0.50,"[(0, 1, 2)]",[9.30433056015167],[0.03850711078641107]
43,0.50,"[(0, 2, 0)]",[17.87587048005934],[0.0515146364120833]
