,Train Split,Order,MSE,MAPE,Time(s)
0,0.800,"(0, 0, 0)",707.571,0.454,4.561
1,0.800,"(0, 0, 1)",193.314,0.234,132.687
2,0.800,"(0, 1, 0)",3.991,0.020,5.222
3,0.800,"(0, 1, 1)",3.997,0.020,22.906
4,0.800,"(0, 1, 2)",4.002,0.020,34.980
5,0.800,"(0, 2, 0)",8.147,0.029,4.481
6,0.800,"(0, 2, 1)",4.002,0.020,444.339
7,0.800,"(1, 0, 0)",3.990,0.020,57.017
8,0.800,"(1, 0, 1)",3.997,0.020,658.601
9,0.800,"(1, 0, 2)",4.002,0.020,770.683
10,0.800,"(1, 1, 0)",3.997,0.020,25.712
11,0.800,"(1, 1, 1)",4.000,0.020,611.733
12,0.800,"(1, 2, 0)",6.074,0.026,26.503
13,0.800,"(1, 2, 1)",4.021,0.020,1360.252
14,0.800,"(2, 0, 0)",3.997,0.020,207.027
15,0.800,"(2, 0, 1)",3.999,0.020,742.505
16,0.800,"(2, 1, 0)",4.003,0.020,40.188
17,0.800,"(2, 2, 0)",5.427,0.024,46.868
18,0.800,"(2, 2, 1)",4.029,0.020,1797.263
19,0.800,"(3, 0, 0)",4.003,0.020,317.022
20,0.800,"(3, 0, 1)",4.004,0.020,919.380
21,0.800,"(3, 0, 2)",4.013,0.020,1544.507
22,0.800,"(3, 1, 0)",4.013,0.020,56.490
23,0.800,"(3, 1, 1)",4.016,0.020,1125.768
24,0.800,"(3, 1, 2)",4.000,0.020,1607.288
25,0.800,"(3, 2, 0)",4.949,0.023,339.151
26,0.800,"(3, 2, 1)",4.035,0.020,2523.301
27,0.800,"(3, 2, 2)",4.045,0.020,3019.932
28,0.800,"(4, 0, 0)",4.012,0.020,422.236
29,0.800,"(4, 0, 1)",4.016,0.020,1981.507
30,0.800,"(4, 0, 2)",4.017,0.020,3847.510
31,0.800,"(4, 1, 0)",4.009,0.020,80.373
32,0.800,"(4, 1, 1)",4.026,0.020,982.067
33,0.800,"(4, 1, 2)",4.032,0.020,1627.100
34,0.800,"(4, 2, 0)",4.870,0.023,546.326
35,0.800,"(4, 2, 1)",4.018,0.020,3444.170
36,0.500,"(0, 0, 0)",883.147,0.521,9.197
37,0.500,"(0, 0, 1)",239.281,0.268,277.149
38,0.500,"(0, 1, 0)",2.427,0.017,11.959
39,0.500,"(0, 1, 1)",2.423,0.017,53.990
40,0.500,"(0, 1, 2)",2.427,0.017,80.292
41,0.500,"(0, 2, 0)",5.115,0.026,11.997
42,0.500,"(0, 2, 1)",2.435,0.018,925.179
43,0.500,"(1, 0, 0)",2.428,0.018,127.295
44,0.500,"(1, 0, 1)",2.424,0.017,1387.607
45,0.500,"(1, 0, 2)",2.428,0.018,1632.369
46,0.500,"(1, 1, 0)",2.423,0.017,59.715
47,0.500,"(1, 1, 1)",2.424,0.017,1287.905
48,0.500,"(1, 2, 0)",3.689,0.022,61.372
49,0.500,"(1, 2, 1)",2.438,0.018,2882.443
50,0.500,"(2, 0, 0)",2.424,0.017,444.799
51,0.500,"(2, 0, 1)",2.425,0.017,1558.731
52,0.500,"(2, 1, 0)",2.428,0.017,85.995
53,0.500,"(2, 2, 0)",3.311,0.021,105.245
54,0.500,"(2, 2, 1)",2.446,0.018,3325.268
