,Train Split,Order,MSE,MAPE,Time(s)
0,0.800,"(0, 0, 0)",701.382,0.436,0.188
1,0.800,"(0, 0, 1)",269.954,0.265,1.378
2,0.800,"(0, 1, 0)",62.657,0.115,0.182
3,0.800,"(0, 1, 1)",64.716,0.113,1.117
4,0.800,"(0, 1, 2)",65.186,0.114,1.877
5,0.800,"(0, 2, 0)",110.100,0.138,0.189
6,0.800,"(0, 2, 1)",63.854,0.117,3.855
7,0.800,"(0, 2, 2)",65.911,0.115,6.537
8,0.800,"(1, 0, 0)",63.740,0.115,1.698
9,0.800,"(1, 0, 1)",65.286,0.114,3.629
10,0.800,"(1, 0, 2)",65.446,0.114,4.301
11,0.800,"(1, 1, 0)",64.500,0.114,0.617
12,0.800,"(1, 1, 1)",65.235,0.114,1.652
13,0.800,"(1, 1, 2)",66.925,0.115,6.587
14,0.800,"(1, 2, 0)",90.871,0.132,0.707
15,0.800,"(1, 2, 1)",65.850,0.115,4.471
16,0.800,"(1, 2, 2)",66.509,0.115,6.835
17,0.800,"(2, 0, 0)",65.050,0.115,1.925
18,0.800,"(2, 0, 1)",65.450,0.115,3.488
19,0.800,"(2, 0, 2)",64.302,0.113,7.361
20,0.800,"(2, 1, 0)",65.154,0.113,1.182
21,0.800,"(2, 1, 1)",64.672,0.113,8.480
22,0.800,"(2, 1, 2)",73.776,0.122,5.923
23,0.800,"(2, 2, 0)",86.058,0.133,1.069
24,0.800,"(2, 2, 1)",66.392,0.115,6.388
25,0.800,"(2, 2, 2)",68.314,0.118,18.793
26,0.800,"(3, 0, 0)",65.377,0.115,3.024
27,0.800,"(3, 0, 1)",65.173,0.114,15.759
28,0.800,"(3, 0, 2)",67.006,0.115,14.037
29,0.800,"(3, 1, 0)",65.245,0.113,1.771
30,0.800,"(3, 1, 1)",65.301,0.113,9.527
31,0.800,"(3, 1, 2)",67.535,0.116,20.440
32,0.800,"(3, 2, 0)",80.425,0.129,1.780
33,0.800,"(3, 2, 1)",66.534,0.115,8.365
34,0.800,"(3, 2, 2)",66.177,0.114,18.523
35,0.800,"(4, 0, 0)",65.809,0.115,4.704
36,0.800,"(4, 0, 1)",67.143,0.115,23.067
37,0.800,"(4, 0, 2)",64.350,0.111,44.312
38,0.800,"(4, 1, 0)",66.520,0.113,2.790
39,0.800,"(4, 1, 1)",68.686,0.116,13.078
40,0.800,"(4, 1, 2)",68.527,0.116,22.577
41,0.800,"(4, 2, 0)",75.068,0.125,2.426
42,0.800,"(4, 2, 1)",67.638,0.114,12.634
43,0.800,"(5, 0, 0)",66.647,0.116,12.245
44,0.800,"(5, 0, 1)",66.499,0.114,23.438
