,Train Split,Order,MSE,MAPE,Time(s)
0,0.800,"(0, 0, 0)",1011.203,0.547,0.081
1,0.800,"(0, 0, 1)",710.445,0.492,0.381
2,0.800,"(0, 1, 0)",349.252,0.318,0.050
3,0.800,"(0, 1, 1)",430.095,0.360,0.257
4,0.800,"(0, 1, 2)",635.331,0.469,0.505
5,0.800,"(0, 2, 0)",809.882,0.480,0.071
6,0.800,"(0, 2, 1)",351.598,0.328,0.320
7,0.800,"(1, 0, 0)",340.336,0.302,0.303
8,0.800,"(1, 0, 1)",629.766,0.434,0.760
9,0.800,"(1, 0, 2)",584.695,0.445,1.022
10,0.800,"(1, 1, 0)",364.023,0.328,0.222
11,0.800,"(1, 2, 0)",571.668,0.400,0.258
12,0.800,"(1, 2, 1)",373.741,0.339,0.875
13,0.800,"(2, 0, 0)",362.270,0.320,0.539
14,0.800,"(2, 0, 1)",539.610,0.442,1.391
15,0.800,"(2, 0, 2)",566.980,0.452,1.546
16,0.800,"(2, 1, 0)",484.503,0.417,0.396
17,0.800,"(2, 1, 1)",665.984,0.475,0.855
18,0.800,"(2, 2, 0)",787.953,0.509,0.452
19,0.800,"(2, 2, 1)",514.860,0.428,1.420
20,0.800,"(3, 0, 0)",439.963,0.383,0.853
21,0.800,"(3, 0, 1)",585.278,0.457,1.598
22,0.800,"(3, 1, 0)",541.497,0.444,0.652
23,0.800,"(3, 1, 1)",716.937,0.495,2.093
24,0.800,"(3, 1, 2)",439.051,0.370,4.152
25,0.800,"(3, 2, 0)",697.861,0.491,0.648
26,0.800,"(3, 2, 1)",549.138,0.444,1.937
27,0.500,"(0, 0, 0)",1014.796,0.570,0.171
28,0.500,"(0, 0, 1)",458.902,0.375,1.083
29,0.500,"(0, 1, 0)",204.353,0.225,0.154
30,0.500,"(0, 1, 1)",315.606,0.274,0.817
31,0.500,"(0, 1, 2)",323.100,0.278,1.619
32,0.500,"(0, 2, 0)",544.398,0.368,0.121
33,0.500,"(0, 2, 1)",217.186,0.239,0.627
34,0.500,"(1, 0, 0)",225.943,0.237,0.761
35,0.500,"(1, 0, 1)",373.863,0.317,2.139
36,0.500,"(1, 1, 0)",217.933,0.237,0.548
37,0.500,"(1, 2, 0)",418.843,0.327,0.540
38,0.500,"(1, 2, 1)",325.803,0.293,1.882
39,0.500,"(2, 0, 0)",266.509,0.266,1.251
40,0.500,"(2, 0, 1)",318.032,0.307,3.123
41,0.500,"(2, 1, 0)",283.747,0.268,1.003
42,0.500,"(2, 1, 1)",379.237,0.297,2.244
43,0.500,"(2, 2, 0)",485.563,0.351,1.048
44,0.500,"(2, 2, 1)",322.350,0.292,2.296
45,0.500,"(3, 0, 0)",284.670,0.282,2.377
46,0.500,"(3, 0, 1)",333.866,0.307,3.365
47,0.500,"(3, 1, 0)",320.414,0.290,1.711
48,0.500,"(3, 1, 1)",383.991,0.300,4.490
49,0.500,"(3, 1, 2)",301.023,0.269,10.669
50,0.500,"(3, 2, 0)",429.767,0.338,1.619
51,0.500,"(3, 2, 1)",332.013,0.294,3.851
52,0.650,"(0, 0, 0)",777.471,0.461,0.077
53,0.650,"(0, 0, 1)",496.306,0.369,0.734
54,0.650,"(0, 1, 0)",257.747,0.255,0.067
55,0.650,"(0, 1, 1)",410.305,0.325,0.457
56,0.650,"(0, 1, 2)",434.895,0.342,1.055
57,0.650,"(0, 2, 0)",641.201,0.400,0.092
58,0.650,"(0, 2, 1)",263.854,0.262,0.442
59,0.650,"(1, 0, 0)",244.190,0.241,0.516
60,0.650,"(1, 0, 1)",470.304,0.356,1.430
61,0.650,"(1, 0, 2)",408.757,0.341,1.702
62,0.650,"(1, 1, 0)",274.848,0.267,0.348
63,0.650,"(1, 2, 0)",465.477,0.344,0.383
64,0.650,"(1, 2, 1)",356.306,0.311,1.450
65,0.650,"(2, 0, 0)",277.104,0.263,0.916
66,0.650,"(2, 0, 1)",388.628,0.342,2.306
67,0.650,"(2, 0, 2)",399.467,0.345,2.435
68,0.650,"(2, 1, 0)",368.298,0.327,0.729
69,0.650,"(2, 1, 1)",513.175,0.377,1.486
70,0.650,"(2, 2, 0)",652.547,0.428,0.738
71,0.650,"(2, 2, 1)",423.198,0.349,1.851
72,0.650,"(3, 0, 0)",329.308,0.303,1.668
73,0.650,"(3, 0, 1)",428.017,0.358,2.581
74,0.650,"(3, 1, 0)",429.169,0.357,1.165
75,0.650,"(3, 1, 1)",518.229,0.379,3.344
76,0.650,"(3, 1, 2)",396.685,0.322,7.317
77,0.650,"(3, 2, 0)",573.288,0.407,1.124
78,0.650,"(3, 2, 1)",445.920,0.361,3.005
