,Train Split,Order,MSE,MAPE,Time(s)
0,0.800,"(0, 0, 0)",718.455,0.448,0.870
1,0.800,"(0, 0, 1)",210.466,0.239,14.380
2,0.800,"(0, 1, 0)",15.244,0.047,1.077
3,0.800,"(0, 1, 1)",15.337,0.047,4.494
4,0.800,"(0, 1, 2)",15.476,0.046,6.845
5,0.800,"(0, 2, 0)",31.659,0.063,0.830
6,0.800,"(0, 2, 1)",15.633,0.047,25.405
7,0.800,"(1, 0, 0)",15.271,0.047,6.739
8,0.800,"(1, 0, 1)",15.364,0.047,51.530
9,0.800,"(1, 0, 2)",15.511,0.046,61.126
10,0.800,"(1, 1, 0)",15.348,0.047,3.541
11,0.800,"(1, 2, 0)",24.098,0.055,3.398
12,0.800,"(1, 2, 1)",15.392,0.047,62.592
13,0.800,"(1, 2, 2)",15.440,0.046,168.382
14,0.800,"(2, 0, 0)",15.377,0.047,12.716
15,0.800,"(2, 0, 1)",15.367,0.046,72.626
16,0.800,"(2, 0, 2)",15.348,0.046,96.015
17,0.800,"(2, 1, 0)",15.490,0.046,5.922
18,0.800,"(2, 1, 1)",15.384,0.046,60.226
19,0.800,"(2, 2, 0)",18.931,0.051,5.086
20,0.800,"(2, 2, 2)",15.709,0.047,124.217
21,0.800,"(3, 0, 0)",15.525,0.046,20.423
22,0.800,"(3, 0, 1)",15.712,0.046,87.266
23,0.800,"(3, 0, 2)",15.515,0.047,293.157
24,0.800,"(3, 1, 0)",15.281,0.046,8.137
25,0.800,"(3, 1, 1)",15.299,0.046,70.426
26,0.800,"(3, 1, 2)",15.578,0.046,81.897
27,0.800,"(3, 2, 0)",18.857,0.050,14.766
28,0.800,"(3, 2, 1)",15.323,0.046,140.356
29,0.800,"(4, 0, 0)",15.286,0.046,31.055
30,0.800,"(4, 0, 1)",15.274,0.046,113.904
31,0.800,"(4, 0, 2)",15.579,0.046,146.901
32,0.800,"(4, 1, 0)",15.521,0.046,13.254
33,0.800,"(4, 1, 1)",15.571,0.046,70.399
34,0.800,"(4, 1, 2)",15.533,0.046,113.542
35,0.800,"(4, 2, 0)",18.450,0.048,32.084
36,0.800,"(4, 2, 1)",15.570,0.046,194.455
37,0.800,"(4, 2, 2)",15.606,0.046,358.170
38,0.800,"(5, 0, 0)",15.527,0.046,77.753
39,0.800,"(5, 0, 1)",15.553,0.046,157.483
40,0.800,"(5, 1, 0)",15.623,0.046,46.931
41,0.800,"(5, 1, 1)",15.569,0.046,85.727
42,0.800,"(5, 1, 2)",15.643,0.046,150.377
43,0.800,"(5, 2, 0)",17.144,0.047,78.311
44,0.800,"(5, 2, 1)",15.678,0.046,313.833
45,0.500,"(0, 0, 0)",896.695,0.521,1.834
46,0.500,"(0, 0, 1)",256.030,0.275,21.019
47,0.500,"(0, 1, 0)",9.356,0.039,2.148
48,0.500,"(0, 1, 1)",9.377,0.038,7.760
49,0.500,"(0, 1, 2)",9.478,0.039,13.897
