,Date,Close Prices,Test Predictions
0,2019-08-12,58.64,59.55
1,2019-08-19,59.34,59.72
2,2019-08-26,60.43,60.49
3,2019-09-02,61.54,61.66
4,2019-09-09,60.22,62.83
5,2019-09-16,64.28,61.31
6,2019-09-23,61.91,66.10
7,2019-09-30,58.37,62.96
8,2019-10-07,60.51,59.38
9,2019-10-14,59.42,61.81
10,2019-10-21,62.02,60.51
11,2019-10-28,60.21,63.48
12,2019-11-04,62.51,61.28
13,2019-11-11,63.30,63.98
14,2019-11-18,63.39,64.63
15,2019-11-25,62.43,64.66
16,2019-12-02,64.39,63.59
17,2019-12-09,65.22,65.93
18,2019-12-16,66.14,66.61
19,2019-12-23,68.16,67.58
20,2019-12-30,68.60,69.83
21,2020-01-06,64.98,69.99
22,2020-01-13,64.85,65.91
23,2020-01-20,60.69,66.17
24,2020-01-27,58.16,61.67
25,2020-02-03,54.47,59.16
26,2020-02-10,57.32,55.50
27,2020-02-17,58.50,58.40
28,2020-02-24,50.52,59.65
29,2020-03-02,45.27,52.10
30,2020-03-09,33.85,46.59
31,2020-03-16,26.98,36.84
32,2020-03-23,24.93,28.60
33,2020-03-30,34.11,25.69
34,2020-04-06,31.48,34.87
35,2020-04-13,28.08,33.79
36,2020-04-20,21.44,29.54
37,2020-04-27,25.29,22.28
38,2020-05-04,30.97,25.67
39,2020-05-11,32.50,32.22
40,2020-05-18,35.13,34.02
41,2020-05-25,35.33,36.19
42,2020-06-01,42.30,36.70
43,2020-06-08,38.73,42.86
44,2020-06-15,42.19,40.81
45,2020-06-22,41.02,42.80
46,2020-06-29,43.14,42.46
47,2020-07-06,43.24,43.94
48,2020-07-13,43.14,44.38
49,2020-07-20,43.34,44.22
50,2020-07-27,43.30,44.37
51,2020-08-03,44.40,44.37
52,2020-08-10,44.80,45.31
53,2020-08-17,44.35,45.81
54,2020-08-24,45.05,45.43
55,2020-08-31,42.66,45.96
56,2020-09-07,39.83,44.05
57,2020-09-14,43.15,41.27
58,2020-09-21,41.92,43.78
59,2020-09-28,39.27,43.32
60,2020-10-05,42.85,40.76
61,2020-10-12,42.93,43.47
62,2020-10-19,41.77,44.15
63,2020-10-26,37.46,43.02
64,2020-11-02,39.45,39.26
65,2020-11-09,42.78,40.22
66,2020-11-16,44.96,43.63
67,2020-11-23,48.18,45.91
68,2020-11-30,49.25,48.98
69,2020-12-07,49.97,50.20
70,2020-12-14,52.26,50.86
71,2020-12-21,51.29,53.11
72,2020-12-28,51.34,52.31
73,2021-01-04,55.99,52.22
74,2021-01-11,55.10,57.06
75,2021-01-18,55.41,56.16
76,2021-01-25,55.88,56.38
77,2021-02-01,59.34,56.88
78,2021-02-08,62.43,60.65
79,2021-02-15,62.91,63.94
80,2021-02-22,66.13,64.19
81,2021-03-01,69.36,67.93
82,2021-03-08,69.22,71.25
83,2021-03-15,64.53,70.51
84,2021-03-22,64.57,65.39
85,2021-03-29,64.86,65.91
86,2021-04-05,62.95,66.20
87,2021-04-12,66.77,64.04
88,2021-04-19,66.11,68.75
89,2021-04-26,67.25,67.31
90,2021-05-03,68.28,68.78
91,2021-05-10,68.71,69.78
92,2021-05-17,66.44,70.12
93,2021-05-24,69.63,67.48
94,2021-05-31,71.89,71.64
95,2021-06-07,72.69,73.64
96,2021-06-14,73.51,74.17
97,2021-06-21,76.18,75.03
98,2021-06-28,76.17,78.13
99,2021-07-05,75.55,77.52
100,2021-07-12,73.59,76.82
101,2021-07-19,74.10,74.62
102,2021-07-26,76.33,75.60
103,2021-08-02,70.70,78.19
104,2021-08-09,70.59,71.28
105,2021-08-16,65.18,72.01
106,2021-08-23,72.70,65.97
107,2021-08-30,72.61,76.08
108,2021-09-06,72.92,73.84
109,2021-09-13,75.34,74.35
110,2021-09-20,78.09,77.23
111,2021-09-27,79.28,80.07
112,2021-10-04,82.39,80.94
113,2021-10-11,84.86,84.62
114,2021-10-18,85.53,87.07
115,2021-10-25,84.38,87.49
116,2021-11-01,82.74,85.99
117,2021-11-08,82.17,84.15
118,2021-11-15,78.89,83.70
119,2021-11-22,72.72,79.84
120,2021-11-29,69.88,73.23
121,2021-12-06,75.15,70.86
122,2021-12-13,73.52,77.87
123,2021-12-20,76.85,74.54
124,2021-12-27,79.20,79.03
125,2022-01-03,81.75,81.10
126,2022-01-10,86.06,83.80
127,2022-01-17,87.89,88.73
128,2022-01-24,90.03,90.22
129,2022-01-31,93.27,92.60
130,2022-02-07,94.44,96.22
131,2022-02-14,93.54,97.16
132,2022-02-21,97.93,96.00
133,2022-02-28,118.11,101.13
134,2022-03-07,112.67,120.21
135,2022-03-14,107.93,112.71
136,2022-03-21,120.65,108.81
137,2022-03-28,107.67,120.13
138,2022-04-04,102.78,108.67
139,2022-04-11,111.70,104.50
140,2022-04-18,106.65,113.31
141,2022-04-25,109.34,107.75
142,2022-05-02,112.39,110.53
143,2022-05-09,111.55,112.79
144,2022-05-16,112.55,111.84
145,2022-05-23,119.43,112.73
146,2022-05-30,119.72,118.36
147,2022-06-06,122.01,118.32
148,2022-06-13,113.12,120.20
149,2022-06-20,113.12,113.11
150,2022-06-27,111.63,113.10
151,2022-07-04,107.02,111.87
152,2022-07-11,101.16,108.07
153,2022-07-18,102.71,102.99
