,Date,Close Prices,"ARIMA_50.0_(0, 0, 0)_Predictions","ARIMA_50.0_(0, 0, 1)_Predictions","ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(0, 2, 0)_Predictions","ARIMA_50.0_(0, 1, 1)_Predictions","ARIMA_50.0_(0, 2, 1)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions","ARIMA_50.0_(1, 0, 1)_Predictions","ARIMA_50.0_(1, 1, 0)_Predictions","ARIMA_50.0_(1, 2, 0)_Predictions","ARIMA_50.0_(1, 2, 1)_Predictions","ARIMA_50.0_(2, 0, 0)_Predictions","ARIMA_50.0_(2, 0, 1)_Predictions","ARIMA_50.0_(2, 1, 0)_Predictions","ARIMA_50.0_(2, 1, 1)_Predictions","ARIMA_50.0_(2, 2, 0)_Predictions"
0,2015-01-19,48.79,95.13,77.9,47.62,45.28,47.6,45.32,48.14,48.12,47.6,43.17,44.88,48.12,46.94,47.08,46.09,43.55
1,2015-01-26,52.99,95.01,69.55,48.72,49.9,48.73,46.7,49.23,49.26,48.73,48.01,46.09,49.26,48.35,48.54,47.27,46.09
2,2015-02-02,57.8,94.91,80.45,52.93,57.21,52.96,51.35,53.41,53.48,52.97,55.55,50.74,53.49,53.0,53.06,51.89,53.87
3,2015-02-09,57.39,94.81,75.0,57.76,62.63,57.81,56.56,58.2,58.29,57.81,62.31,57.35,58.3,58.22,58.15,57.33,61.21
4,2015-02-16,60.22,94.72,79.32,57.35,56.99,57.34,56.21,57.79,57.79,57.34,59.79,56.91,57.79,57.85,57.73,57.44,60.5
5,2015-02-23,62.58,94.63,77.89,60.18,63.07,60.21,59.76,60.59,60.65,60.22,61.33,59.79,60.66,60.91,60.18,60.22,62.47
6,2015-03-02,59.73,94.55,81.14,62.55,64.96,62.57,62.15,62.93,62.98,62.58,65.21,62.18,62.99,63.43,62.81,62.83,64.24
7,2015-03-09,54.67,94.46,75.69,59.69,56.88,59.66,59.28,60.1,60.07,59.66,59.67,59.26,60.06,60.41,59.86,60.14,60.74
8,2015-03-16,55.32,94.36,75.94,54.62,49.61,54.56,54.18,55.08,55.0,54.55,50.78,54.13,54.99,55.1,54.33,54.74,52.85
9,2015-03-23,56.41,94.26,76.15,55.27,55.98,55.28,54.82,55.72,55.74,55.28,52.93,54.84,55.75,55.85,54.89,54.94,52.65
10,2015-03-30,54.95,94.17,76.83,56.36,57.51,56.38,55.93,56.8,56.83,56.38,57.28,55.94,56.83,57.05,56.43,56.15,55.34
11,2015-04-06,57.87,94.07,74.83,54.9,53.5,54.88,54.46,55.35,55.33,54.88,54.85,54.45,55.33,55.55,54.97,54.84,55.15
12,2015-04-13,63.45,93.98,79.07,57.83,60.81,57.86,57.4,58.25,58.3,57.86,58.48,57.44,58.31,58.67,57.75,57.64,58.55
13,2015-04-20,65.28,93.9,80.15,63.42,69.05,63.49,63.03,63.78,63.9,63.51,67.65,63.12,63.92,64.56,63.72,63.5,65.76
14,2015-04-27,66.46,93.83,80.74,65.26,67.13,65.28,64.89,65.6,65.64,65.29,69.12,64.93,65.65,66.45,65.71,65.77,68.91
