,Date,Close Prices,Test Predictions
0,2019-07-26,63.46,63.36
1,2019-07-29,63.71,63.44
2,2019-07-30,64.72,63.68
3,2019-07-31,65.17,64.64
4,2019-08-01,65.19,65.14
5,2019-08-02,61.89,65.20
6,2019-08-05,59.81,62.25
7,2019-08-06,58.94,60.01
8,2019-08-07,56.23,58.98
9,2019-08-08,57.38,56.53
10,2019-08-09,58.53,57.17
11,2019-08-12,58.57,58.30
12,2019-08-13,61.30,58.48
13,2019-08-14,59.48,60.97
14,2019-08-15,58.23,59.64
15,2019-08-16,58.64,58.32
16,2019-08-19,59.74,58.51
17,2019-08-20,60.03,59.54
18,2019-08-21,60.30,59.92
19,2019-08-22,59.92,60.20
20,2019-08-23,59.34,59.90
21,2019-08-26,58.70,59.34
22,2019-08-27,59.51,58.70
23,2019-08-28,60.49,59.34
24,2019-08-29,61.08,60.31
25,2019-08-30,60.43,60.96
26,2019-09-03,58.26,60.45
27,2019-09-04,60.70,58.47
28,2019-09-05,60.95,60.39
29,2019-09-06,61.54,60.86
30,2019-09-09,62.59,61.43
31,2019-09-10,62.38,62.45
32,2019-09-11,60.81,62.37
33,2019-09-12,60.38,60.95
34,2019-09-13,60.22,60.37
35,2019-09-16,69.02,60.18
36,2019-09-17,64.55,68.99
37,2019-09-18,63.60,65.08
38,2019-09-19,64.40,63.69
39,2019-09-20,64.28,64.34
40,2019-09-23,64.77,64.29
41,2019-09-24,63.10,64.74
42,2019-09-25,62.39,63.26
43,2019-09-26,62.74,62.44
44,2019-09-27,61.91,62.68
45,2019-09-30,60.78,61.96
46,2019-10-01,60.75,60.86
47,2019-10-02,57.69,60.70
48,2019-10-03,57.71,58.04
49,2019-10-04,58.37,57.63
50,2019-10-07,58.35,58.21
51,2019-10-08,58.24,58.27
52,2019-10-09,58.32,58.17
53,2019-10-10,59.10,58.23
54,2019-10-11,60.51,58.93
55,2019-10-14,59.35,60.29
56,2019-10-15,58.74,59.42
57,2019-10-16,59.42,58.74
58,2019-10-17,59.91,59.27
59,2019-10-18,59.42,59.78
60,2019-10-21,58.96,59.41
61,2019-10-22,59.70,58.94
62,2019-10-23,61.17,59.54
63,2019-10-24,61.67,60.95
64,2019-10-25,62.02,61.56
65,2019-10-28,61.57,61.94
66,2019-10-29,61.59,61.57
67,2019-10-30,60.61,61.54
68,2019-10-31,60.23,60.67
69,2019-11-01,60.21,60.21
70,2019-11-04,62.13,60.15
71,2019-11-05,62.96,61.90
72,2019-11-06,61.74,62.84
73,2019-11-07,62.29,61.84
74,2019-11-08,62.51,62.20
75,2019-11-11,62.18,62.45
76,2019-11-12,62.06,62.18
77,2019-11-13,62.37,62.04
78,2019-11-14,62.28,62.30
79,2019-11-15,63.30,62.25
80,2019-11-18,62.44,63.18
81,2019-11-19,60.91,62.50
82,2019-11-20,62.40,61.04
83,2019-11-21,63.97,62.22
84,2019-11-22,63.39,63.81
85,2019-11-25,63.65,63.43
86,2019-11-26,64.27,63.62
87,2019-11-27,64.06,64.21
88,2019-11-29,62.43,64.07
89,2019-12-02,62.40,62.58
90,2019-12-03,60.82,62.38
91,2019-12-04,63.00,60.96
92,2019-12-05,63.39,62.78
93,2019-12-06,64.39,63.33
94,2019-12-09,64.25,64.30
95,2019-12-10,64.34,64.26
96,2019-12-11,63.72,64.33
