,Date,Close Prices,Test Predictions
0,2019-01-01,61.89,54.04
1,2019-02-01,66.03,73.15
2,2019-03-01,68.39,67.49
3,2019-04-01,72.80,69.42
4,2019-05-01,64.49,74.53
5,2019-06-01,66.55,59.29
6,2019-07-01,65.17,70.01
7,2019-08-01,60.43,64.64
8,2019-10-01,60.23,58.90
9,2019-11-01,62.43,63.12
10,2020-01-01,58.16,65.67
11,2020-02-01,50.52,56.61
12,2020-04-01,25.27,48.99
13,2020-05-01,35.33,17.72
14,2020-06-01,41.15,52.06
15,2020-07-01,43.30,44.18
16,2020-08-01,45.10,46.37
17,2020-09-01,40.95,49.72
18,2020-10-01,37.46,41.06
19,2020-12-01,51.34,40.04
20,2021-01-01,55.88,67.97
21,2021-02-01,66.13,56.90
22,2021-03-01,63.54,73.44
23,2021-04-01,67.25,60.85
24,2021-05-01,69.63,70.81
25,2021-06-01,75.13,70.50
26,2021-07-01,76.33,77.03
27,2021-09-01,78.52,75.43
28,2021-10-01,84.38,78.18
29,2021-11-01,70.57,85.10
30,2021-12-01,79.20,63.87
31,2022-01-01,91.21,84.00
32,2022-02-01,100.99,93.66
33,2022-03-01,107.91,102.22
34,2022-04-01,109.34,107.48
35,2022-06-01,114.81,108.15
