,Date,Close Prices,Test Predictions
0,2019-07-29,61.89,62.65
1,2019-08-05,58.53,60.98
2,2019-08-12,58.64,57.72
3,2019-08-19,59.34,57.73
4,2019-08-26,60.43,58.46
5,2019-09-02,61.54,59.56
6,2019-09-09,60.22,60.69
7,2019-09-16,64.28,59.34
8,2019-09-23,61.91,63.69
9,2019-09-30,58.37,60.98
10,2019-10-07,60.51,57.56
11,2019-10-14,59.42,59.63
12,2019-10-21,62.02,58.56
13,2019-10-28,60.21,61.22
14,2019-11-04,62.51,59.34
15,2019-11-11,63.30,61.72
16,2019-11-18,63.39,62.47
17,2019-11-25,62.43,62.53
18,2019-12-02,64.39,61.53
19,2019-12-09,65.22,63.66
20,2019-12-16,66.14,64.43
21,2019-12-23,68.16,65.38
22,2019-12-30,68.60,67.57
23,2020-01-06,64.98,67.83
24,2020-01-13,64.85,63.93
25,2020-01-20,60.69,64.01
26,2020-01-27,58.16,59.79
27,2020-02-03,54.47,57.32
28,2020-02-10,57.32,53.90
29,2020-02-17,58.50,56.33
30,2020-02-24,50.52,57.64
31,2020-03-02,45.27,50.81
32,2020-03-09,33.85,45.73
33,2020-03-16,26.98,37.14
34,2020-03-23,24.93,29.79
35,2020-03-30,34.11,26.87
36,2020-04-06,31.48,33.80
37,2020-04-13,28.08,33.58
38,2020-04-20,21.44,30.07
39,2020-04-27,25.29,24.50
40,2020-05-04,30.97,26.55
41,2020-05-11,32.50,31.82
42,2020-05-18,35.13,33.59
43,2020-05-25,35.33,35.53
44,2020-06-01,42.30,36.16
45,2020-06-08,38.73,41.47
46,2020-06-15,42.19,40.04
47,2020-06-22,41.02,41.72
48,2020-06-29,43.14,41.55
49,2020-07-06,43.24,42.84
50,2020-07-13,43.14,43.31
51,2020-07-20,43.34,43.20
52,2020-07-27,43.30,43.33
53,2020-08-03,44.40,43.34
54,2020-08-10,44.80,44.16
55,2020-08-17,44.35,44.65
56,2020-08-24,45.05,44.35
57,2020-08-31,42.66,44.80
58,2020-09-07,39.83,43.14
59,2020-09-14,43.15,40.64
60,2020-09-21,41.92,42.64
61,2020-09-28,39.27,42.36
62,2020-10-05,42.85,40.13
63,2020-10-12,42.93,42.33
64,2020-10-19,41.77,43.07
65,2020-10-26,37.46,42.13
66,2020-11-02,39.45,38.84
67,2020-11-09,42.78,39.43
68,2020-11-16,44.96,42.43
69,2020-11-23,48.18,44.63
70,2020-11-30,49.25,47.47
71,2020-12-07,49.97,48.72
72,2020-12-14,52.26,49.37
73,2020-12-21,51.29,51.41
74,2020-12-28,51.34,50.79
75,2021-01-04,55.99,50.68
76,2021-01-11,55.10,54.98
77,2021-01-18,55.41,54.41
78,2021-01-25,55.88,54.57
79,2021-02-01,59.34,55.03
80,2021-02-08,62.43,58.46
81,2021-02-15,62.91,61.68
82,2021-02-22,66.13,62.06
83,2021-03-01,69.36,65.58
84,2021-03-08,69.22,68.94
85,2021-03-15,64.53,68.37
86,2021-03-22,64.57,63.45
87,2021-03-29,64.86,63.74
88,2021-04-05,62.95,64.03
89,2021-04-12,66.77,62.02
90,2021-04-19,66.11,66.33
91,2021-04-26,67.25,65.20
92,2021-05-03,68.28,66.55
93,2021-05-10,68.71,67.58
94,2021-05-17,66.44,67.95
95,2021-05-24,69.63,65.44
96,2021-05-31,71.89,69.29
97,2021-06-07,72.69,71.41
98,2021-06-14,73.51,72.02
99,2021-06-21,76.18,72.89
100,2021-06-28,76.17,75.94
101,2021-07-05,75.55,75.39
102,2021-07-12,73.59,74.73
103,2021-07-19,74.10,72.57
104,2021-07-26,76.33,73.49
105,2021-08-02,70.70,76.02
106,2021-08-09,70.59,69.26
107,2021-08-16,65.18,69.89
108,2021-08-23,72.70,64.04
109,2021-08-30,72.61,73.38
110,2021-09-06,72.92,71.69
111,2021-09-13,75.34,72.23
112,2021-09-20,78.09,75.04
113,2021-09-27,79.28,77.88
114,2021-10-04,82.39,78.77
115,2021-10-11,84.86,82.41
116,2021-10-18,85.53,84.74
117,2021-10-25,84.38,85.05
118,2021-11-01,82.74,83.55
119,2021-11-08,82.17,81.83
120,2021-11-15,78.89,81.48
121,2021-11-22,72.72,77.64
122,2021-11-29,69.88,71.23
123,2021-12-06,75.15,68.86
124,2021-12-13,73.52,75.49
125,2021-12-20,76.85,72.43
126,2021-12-27,79.20,76.83
127,2022-01-03,81.75,78.91
128,2022-01-10,86.06,81.59
129,2022-01-17,87.89,86.43
130,2022-01-24,90.03,87.66
131,2022-01-31,93.27,89.98
132,2022-02-07,94.44,93.50
133,2022-02-14,93.54,94.23
134,2022-02-21,97.93,92.98
135,2022-02-28,118.11,98.47
136,2022-03-07,112.67,120.06
137,2022-03-14,107.93,112.48
138,2022-03-21,120.65,107.68
139,2022-03-28,107.67,120.69
140,2022-04-04,102.78,107.68
141,2022-04-11,111.70,102.39
142,2022-04-18,106.65,112.23
143,2022-04-25,109.34,106.40
144,2022-05-02,112.39,109.31
145,2022-05-09,111.55,112.21
146,2022-05-16,112.55,111.29
147,2022-05-23,119.43,112.29
148,2022-05-30,119.72,119.02
149,2022-06-06,122.01,119.16
150,2022-06-13,113.12,121.34
151,2022-06-20,113.12,112.95
152,2022-06-27,116.26,112.81
