,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.800,"(0, 0, 0)",675.954,0.504,0.864,-10.858
1,0.800,"(0, 0, 1)",235.830,0.288,1.674,-5.723
2,0.800,"(0, 1, 0)",65.609,0.126,0.933,1.417
3,0.800,"(0, 1, 1)",65.142,0.124,1.520,1.071
4,0.800,"(0, 2, 0)",116.234,0.174,0.885,-0.334
5,0.800,"(0, 2, 1)",66.541,0.126,2.969,1.660
6,0.800,"(1, 0, 0)",65.530,0.127,2.024,0.824
7,0.800,"(1, 0, 1)",64.216,0.122,2.911,0.405
8,0.800,"(1, 1, 0)",66.812,0.126,1.367,0.970
9,0.800,"(1, 1, 1)",68.001,0.127,2.285,0.981
10,0.800,"(1, 2, 0)",103.835,0.161,1.428,-0.040
11,0.800,"(1, 2, 1)",68.002,0.128,4.482,1.162
12,0.800,"(2, 0, 0)",66.035,0.128,2.486,0.178
13,0.800,"(2, 0, 1)",67.485,0.129,3.748,0.063
14,0.800,"(2, 1, 0)",69.172,0.128,2.053,1.006
15,0.800,"(2, 2, 0)",90.470,0.150,1.770,0.024
16,0.800,"(2, 2, 1)",70.694,0.129,5.738,1.201
17,0.800,"(3, 0, 0)",68.942,0.130,3.392,0.099
18,0.800,"(3, 0, 1)",70.102,0.130,5.644,0.153
19,0.800,"(3, 1, 0)",70.583,0.130,2.340,1.034
20,0.800,"(3, 1, 1)",71.000,0.130,4.323,1.013
21,0.800,"(3, 2, 0)",88.251,0.144,2.072,0.076
22,0.800,"(3, 2, 1)",71.924,0.132,7.215,1.234
23,0.800,"(4, 0, 0)",69.458,0.130,4.755,0.124
24,0.800,"(4, 0, 1)",70.995,0.130,13.879,0.064
25,0.800,"(4, 1, 0)",70.551,0.131,3.144,1.094
26,0.800,"(4, 1, 1)",73.128,0.131,11.175,1.084
27,0.800,"(4, 2, 0)",87.760,0.144,2.745,0.120
28,0.800,"(4, 2, 1)",71.888,0.132,13.605,1.287
29,0.800,"(5, 0, 0)",69.795,0.131,11.961,0.129
30,0.800,"(5, 0, 1)",70.376,0.131,16.353,0.065
31,0.800,"(5, 1, 0)",72.117,0.132,9.407,1.235
32,0.800,"(5, 1, 1)",70.800,0.131,15.314,1.032
33,0.800,"(5, 2, 0)",84.895,0.143,9.053,0.180
34,0.800,"(5, 2, 1)",73.310,0.132,20.187,1.436
35,0.800,"(6, 0, 0)",71.074,0.133,17.186,0.339
36,0.800,"(6, 0, 1)",71.546,0.133,23.175,0.290
37,0.800,"(6, 1, 0)",72.601,0.133,13.799,1.226
38,0.800,"(6, 1, 1)",71.252,0.129,23.630,1.165
39,0.800,"(6, 2, 0)",81.841,0.139,13.105,0.267
40,0.800,"(6, 2, 1)",73.762,0.133,26.738,1.421
41,0.800,"(7, 0, 0)",71.531,0.133,38.085,0.279
42,0.800,"(7, 0, 1)",71.728,0.133,66.833,0.293
43,0.800,"(7, 1, 0)",74.087,0.135,26.119,1.303
44,0.800,"(7, 1, 1)",74.968,0.134,55.127,1.614
45,0.800,"(7, 2, 0)",82.106,0.138,23.298,0.336
46,0.800,"(7, 2, 1)",75.101,0.134,106.828,1.488
47,0.800,"(8, 0, 0)",72.449,0.134,52.235,0.370
