,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.800,"(0, 0, 0)",664.428,0.473,2.012,-10.044
1,0.800,"(0, 0, 1)",195.084,0.253,9.597,-5.225
2,0.800,"(0, 1, 0)",15.966,0.050,2.057,0.341
3,0.800,"(0, 1, 1)",16.064,0.050,4.439,0.318
4,0.800,"(0, 2, 0)",32.706,0.066,1.956,0.012
5,0.800,"(0, 2, 1)",16.015,0.050,17.750,0.397
6,0.800,"(1, 0, 0)",15.968,0.050,8.180,0.236
7,0.800,"(1, 0, 1)",16.063,0.050,47.565,0.207
8,0.800,"(1, 1, 0)",16.070,0.050,4.374,0.316
9,0.800,"(1, 1, 1)",16.086,0.049,47.711,0.237
10,0.800,"(1, 2, 0)",25.462,0.060,4.882,-0.005
11,0.800,"(1, 2, 1)",16.121,0.050,82.802,0.368
12,0.800,"(2, 0, 0)",16.072,0.050,14.647,0.204
13,0.800,"(2, 0, 1)",16.003,0.049,64.238,0.048
14,0.800,"(2, 1, 0)",16.149,0.050,7.080,0.306
15,0.800,"(2, 1, 1)",16.110,0.050,55.187,0.229
16,0.800,"(2, 2, 0)",18.708,0.052,6.815,-0.045
17,0.800,"(2, 2, 1)",16.204,0.050,96.051,0.355
18,0.500,"(0, 0, 0)",799.959,0.537,3.211,-20.318
19,0.500,"(0, 0, 1)",231.917,0.287,21.576,-10.764
20,0.500,"(0, 1, 0)",9.498,0.042,3.756,0.183
21,0.500,"(0, 1, 1)",9.511,0.041,9.380,0.173
22,0.500,"(0, 2, 0)",18.299,0.055,3.827,0.002
23,0.500,"(0, 2, 1)",9.598,0.042,34.505,0.342
24,0.500,"(1, 0, 0)",9.530,0.042,18.661,-0.061
25,0.500,"(1, 0, 1)",9.541,0.042,97.709,-0.082
26,0.500,"(1, 1, 0)",9.513,0.041,9.464,0.172
27,0.500,"(1, 1, 1)",9.564,0.041,96.331,0.128
28,0.500,"(1, 2, 0)",14.784,0.050,10.468,0.002
29,0.500,"(1, 2, 1)",9.665,0.042,166.094,0.335
30,0.500,"(2, 0, 0)",9.543,0.041,33.849,-0.084
31,0.500,"(2, 0, 1)",9.782,0.042,138.856,-0.330
32,0.500,"(2, 1, 0)",9.564,0.041,16.061,0.167
33,0.500,"(2, 1, 1)",9.631,0.042,113.505,0.135
34,0.500,"(2, 2, 0)",11.610,0.046,14.954,-0.005
35,0.500,"(2, 2, 1)",9.733,0.042,203.322,0.327
36,0.600,"(0, 0, 0)",606.136,0.443,2.806,-15.666
37,0.600,"(0, 0, 1)",175.348,0.236,17.750,-8.227
38,0.600,"(0, 1, 0)",10.548,0.041,3.044,0.224
39,0.600,"(0, 1, 1)",10.574,0.041,7.416,0.211
40,0.600,"(0, 2, 0)",20.771,0.055,3.128,0.015
41,0.600,"(0, 2, 1)",10.624,0.041,30.187,0.330
42,0.600,"(1, 0, 0)",10.524,0.041,15.308,0.053
43,0.600,"(1, 0, 1)",10.547,0.041,89.805,0.033
44,0.600,"(1, 1, 0)",10.577,0.041,7.751,0.210
45,0.600,"(1, 1, 1)",10.633,0.041,88.301,0.154
46,0.600,"(1, 2, 0)",16.527,0.050,8.627,0.006
47,0.600,"(1, 2, 1)",10.651,0.041,148.039,0.312
48,0.600,"(2, 0, 0)",10.550,0.041,28.145,0.030
49,0.600,"(2, 0, 1)",10.624,0.041,122.564,-0.149
50,0.600,"(2, 1, 0)",10.630,0.041,13.080,0.204
51,0.600,"(2, 1, 1)",10.679,0.041,102.601,0.149
52,0.600,"(2, 2, 0)",12.807,0.045,12.395,-0.008
53,0.600,"(2, 2, 1)",10.705,0.041,179.607,0.301
