Date,Close Prices,"ARIMA_80.0_(0, 1, 0)_Predictions",LSTM_60.0_DAILY,LSTM_80.0_DAILY
7/9/2019,57.83,57.65,,
7/10/2019,60.43,57.82,,
7/11/2019,60.2,60.42,,
7/12/2019,60.21,60.19,59.79,
7/15/2019,59.58,60.2,59.8,
7/16/2019,57.62,59.57,59.22,
7/17/2019,56.78,57.61,57.4,
7/18/2019,55.3,56.77,56.42,
7/19/2019,55.63,55.29,55,
7/22/2019,56.22,55.62,55.12,
7/23/2019,56.77,56.21,55.67,
7/24/2019,55.88,56.76,56.23,
7/25/2019,56.02,55.87,55.5,
7/26/2019,56.2,56.01,55.53,
7/29/2019,56.87,56.19,55.7,
7/30/2019,58.05,56.86,56.32,
7/31/2019,58.58,58.04,57.46,
8/1/2019,53.95,58.57,58.07,
8/2/2019,55.66,53.94,54.1,
8/5/2019,54.69,55.65,55.06,
8/6/2019,53.63,54.68,54.29,
8/7/2019,51.09,53.62,53.27,
8/8/2019,52.54,51.08,50.95,
8/9/2019,54.5,52.53,51.95,
8/12/2019,54.93,54.49,53.77,
8/13/2019,57.1,54.92,54.36,
8/14/2019,55.23,57.09,56.4,
8/15/2019,54.47,55.22,54.95,
8/16/2019,54.87,54.46,54.09,
8/19/2019,56.21,54.86,54.34,
8/20/2019,56.34,56.2,55.58,
8/21/2019,55.68,56.33,55.83,
8/22/2019,55.35,55.67,55.27,
8/23/2019,54.17,55.34,54.91,
8/26/2019,53.64,54.16,53.82,
8/27/2019,54.93,53.63,53.22,
8/28/2019,55.78,54.92,54.31,
8/29/2019,56.71,55.77,55.18,
8/30/2019,55.1,56.7,56.12,
9/3/2019,53.94,55.09,54.8,
9/4/2019,56.26,53.93,53.6,
9/5/2019,56.3,56.25,55.56,
9/6/2019,56.52,56.29,55.78,
9/9/2019,57.85,56.51,56.02,
9/10/2019,57.4,57.84,57.25,
9/11/2019,55.75,57.39,56.97,
9/12/2019,55.09,55.74,55.47,
9/13/2019,54.85,55.08,54.69,
9/16/2019,62.9,54.84,54.39,
9/17/2019,59.34,62.9,62.23,
9/18/2019,58.11,59.33,59.31,
9/19/2019,58.13,58.1,57.82,
9/20/2019,58.09,58.12,57.69,
9/23/2019,58.64,58.08,57.64,
9/24/2019,57.29,58.63,58.14,
9/25/2019,56.49,57.28,56.98,
9/26/2019,56.41,56.48,56.12,
9/27/2019,55.91,56.4,55.95,
9/30/2019,54.07,55.9,55.48,
10/1/2019,53.62,54.06,53.81,
10/2/2019,52.64,53.61,53.2,
10/3/2019,52.45,52.63,52.27,
10/4/2019,52.81,52.44,52,
10/7/2019,52.75,52.8,52.28,
10/8/2019,52.63,52.74,52.26,
10/9/2019,52.59,52.62,52.15,
10/10/2019,53.55,52.58,52.1,
10/11/2019,54.7,53.54,52.95,
10/14/2019,53.59,54.69,54.06,
10/15/2019,52.81,53.58,53.21,
10/16/2019,53.36,52.8,52.42,
10/17/2019,53.93,53.35,52.82,
10/18/2019,53.78,53.92,53.36,
10/21/2019,53.31,53.77,53.29,
10/22/2019,54.16,53.3,52.87,
10/23/2019,55.97,54.15,53.58,
10/24/2019,56.23,55.96,55.28,
10/25/2019,56.66,56.22,55.69,
10/28/2019,55.81,56.65,56.13,
10/29/2019,55.54,55.8,55.42,
10/30/2019,55.06,55.53,55.09,
10/31/2019,54.18,55.05,54.63,
11/1/2019,56.2,54.17,53.8,
11/4/2019,56.54,56.19,55.52,
11/5/2019,57.23,56.53,56,
11/6/2019,56.35,57.22,56.68,
11/7/2019,57.15,56.34,55.97,
11/8/2019,57.24,57.14,56.6,
11/11/2019,56.86,57.23,56.75,
11/12/2019,56.8,56.85,56.43,
11/13/2019,57.12,56.79,56.34,
11/14/2019,56.77,57.11,56.62,
11/15/2019,57.72,56.76,56.33,
11/18/2019,57.05,57.71,57.16,
11/19/2019,55.21,57.04,56.65,
11/20/2019,57.11,55.2,54.96,
11/21/2019,58.58,57.1,56.47,
11/22/2019,57.77,58.57,57.96,
11/25/2019,58.01,57.76,57.39,
11/26/2019,58.41,58,57.54,
11/27/2019,58.11,58.4,57.92,
11/29/2019,55.17,58.1,57.69,
