Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions",LSTM_80.0_Predictions
1/18/2015,45.59,48.63,49.32,
1/25/2015,48.24,45.52,46.24,
2/1/2015,51.69,48.18,48.86,
2/8/2015,52.78,51.64,52.28,
2/15/2015,50.34,52.73,53.35,
2/22/2015,49.76,50.29,50.93,
3/1/2015,49.61,49.7,50.35,
3/8/2015,44.84,49.55,50.19,
3/15/2015,45.72,44.77,45.45,
3/22/2015,48.87,45.66,46.32,
3/29/2015,49.14,48.81,49.44,
4/5/2015,51.64,49.08,49.71,
4/12/2015,55.74,51.59,52.18,
4/19/2015,57.15,55.7,56.23,
4/26/2015,59.15,57.11,57.62,
5/3/2015,59.39,59.12,59.6,
5/10/2015,59.69,59.36,59.83,
5/17/2015,59.72,59.66,60.12,
5/24/2015,60.3,59.69,60.15,
5/31/2015,59.13,60.27,60.72,
6/7/2015,59.96,59.1,59.56,
6/14/2015,59.61,59.93,60.38,
6/21/2015,59.63,59.58,60.03,
6/28/2015,56.93,59.6,60.05,
7/5/2015,52.74,56.89,57.38,
7/12/2015,50.89,52.69,53.23,
7/19/2015,48.14,50.84,51.4,
7/26/2015,47.12,48.08,48.67,
8/2/2015,43.87,47.06,47.65,
8/9/2015,42.5,43.8,44.42,
8/16/2015,40.45,42.43,43.05,
8/23/2015,45.22,40.38,41,
8/30/2015,46.05,45.16,45.75,
9/6/2015,44.63,45.99,46.56,
9/13/2015,44.68,44.57,45.15,
9/20/2015,45.7,44.62,45.19,
9/27/2015,45.54,45.64,46.2,
10/4/2015,49.63,45.48,46.04,
10/11/2015,47.26,49.58,50.1,
10/18/2015,44.6,47.2,47.74,
10/25/2015,46.59,44.54,45.1,
11/1/2015,44.29,46.53,47.07,
11/8/2015,40.74,44.23,44.78,
11/15/2015,40.39,40.67,41.25,
11/22/2015,41.71,40.32,40.89,
11/29/2015,39.97,41.64,42.2,
12/6/2015,35.62,39.9,40.47,
12/13/2015,34.73,35.54,36.13,
12/20/2015,38.1,34.65,35.24,
12/27/2015,37.04,38.02,38.59,
1/3/2016,33.16,36.96,37.53,
1/10/2016,29.42,33.07,33.66,
1/17/2016,32.19,29.32,29.92,
1/24/2016,33.62,32.1,32.68,
1/31/2016,30.89,33.53,34.1,
2/7/2016,29.44,30.8,31.37,
2/14/2016,29.64,29.35,29.92,
2/21/2016,32.78,29.55,30.11,
2/28/2016,35.92,32.69,33.24,
3/6/2016,38.5,35.84,36.37,
3/13/2016,39.44,38.43,38.94,
3/20/2016,39.46,39.37,39.87,
3/27/2016,36.79,39.39,39.89,
4/3/2016,39.72,36.71,37.23,
4/10/2016,40.36,39.65,40.14,
4/17/2016,43.73,40.29,40.78,
4/24/2016,45.92,43.67,44.12,
5/1/2016,44.66,45.86,46.3,
5/8/2016,46.21,44.6,45.04,
5/15/2016,47.75,46.15,46.58,
5/22/2016,49.33,47.7,48.11,
5/29/2016,48.62,49.28,49.67,
6/5/2016,49.07,48.57,48.97,
6/12/2016,47.98,49.02,49.41,
6/19/2016,47.64,47.93,48.33,
6/26/2016,48.99,47.59,47.99,
7/3/2016,45.41,48.94,49.33,
7/10/2016,45.95,45.35,45.77,
7/17/2016,44.19,45.9,46.31,
7/24/2016,41.6,44.13,44.56,
7/31/2016,41.8,41.54,41.98,
8/7/2016,44.49,41.74,42.18,
8/14/2016,48.52,44.43,44.85,
8/21/2016,47.64,48.47,48.85,
8/28/2016,44.44,47.59,47.98,
9/4/2016,45.88,44.38,44.8,
9/11/2016,43.03,45.83,46.22,
9/18/2016,44.48,42.97,43.39,
9/25/2016,48.24,44.42,44.83,
10/2/2016,49.81,48.19,48.56,
10/9/2016,50.35,49.76,50.12,
10/16/2016,50.85,50.31,50.65,
10/23/2016,48.7,50.81,51.15,
10/30/2016,44.07,48.65,49.01,
11/6/2016,43.41,44.01,44.42,
11/13/2016,45.69,43.35,43.76,
11/20/2016,46.06,45.64,46.02,
11/27/2016,51.68,46.01,46.39,
12/4/2016,51.5,51.64,51.97,
12/11/2016,51.9,51.46,51.79,
12/18/2016,53.02,51.86,52.18,
12/25/2016,53.72,52.98,53.29,
1/1/2017,53.99,53.68,53.98,
1/8/2017,52.37,53.95,54.25,
1/15/2017,52.42,52.33,52.64,
1/22/2017,53.17,52.38,52.69,
1/29/2017,53.83,53.13,53.43,
2/5/2017,53.86,53.79,54.09,
2/12/2017,53.4,53.82,54.12,
2/19/2017,53.99,53.36,53.66,
2/26/2017,53.33,53.95,54.24,
3/5/2017,48.49,53.29,53.59,
3/12/2017,48.78,48.44,48.79,
3/19/2017,47.97,48.73,49.07,
