Date,Close,Open,High,Low,Vol.,Change %
2007-08-01,74.04,77.94,78.77,68.63,4.98M,-5.33%
2007-09-01,81.66,73.9,83.9,73.48,4.78M,10.29%
2007-10-01,94.53,81.75,95.28,78.35,6.02M,15.76%
2007-11-01,88.71,95.15,99.29,88.45,6.16M,-6.16%
2007-12-01,95.98,88.79,97.92,85.82,4.25M,8.20%
2008-01-01,91.75,96.05,100.09,86.11,5.46M,-4.41%
2008-02-01,101.84,91.36,103.05,86.24,5.14M,11.00%
2008-03-01,101.58,101.63,111.8,98.65,5.99M,-0.26%
2008-04-01,113.46,101.57,119.93,99.55,5.63M,11.70%
2008-05-01,127.35,114.6,135.09,110.3,6.80M,12.24%
2008-06-01,140.0,127.63,143.67,121.61,6.23M,9.93%
2008-07-01,124.08,140.18,147.27,120.42,5.83M,-11.37%
2008-08-01,115.46,124.06,128.6,111.34,5.46M,-6.95%
2008-09-01,100.64,116.65,130.0,90.51,5.66M,-12.84%
2008-10-01,67.81,101.86,102.84,61.3,5.69M,-32.62%
2008-11-01,54.43,67.37,71.77,48.25,4.52M,-19.73%
2008-12-01,44.6,54.62,54.62,32.4,4.47M,-18.06%
2009-01-01,41.68,43.72,50.47,32.7,5.13M,-6.55%
2009-02-01,44.76,41.75,45.3,33.55,4.86M,7.39%
2009-03-01,49.66,44.34,54.66,39.44,5.17M,10.95%
2009-04-01,51.12,48.96,53.9,43.83,4.69M,2.94%
2009-05-01,66.31,50.95,66.64,50.43,5.04M,29.71%
2009-06-01,69.89,66.48,73.38,64.95,5.60M,5.40%
2009-07-01,69.45,70.45,71.85,58.32,5.91M,-0.63%
2009-08-01,69.96,69.3,75.0,65.23,5.72M,0.73%
2009-09-01,70.61,69.85,73.16,65.05,5.75M,0.93%
2009-10-01,77.0,70.4,82.0,68.05,6.92M,9.05%
2009-11-01,77.28,77.02,81.06,72.39,6.45M,0.36%
2009-12-01,79.36,77.35,80.0,68.59,5.66M,2.69%
2010-01-01,72.89,79.63,83.95,72.43,5.38M,-8.15%
2010-02-01,79.66,72.84,80.51,69.5,6.57M,9.29%
2010-03-01,83.76,79.84,83.85,78.06,6.52M,5.15%
2010-04-01,86.15,83.36,87.09,80.53,7.25M,2.85%
2010-05-01,73.97,86.2,87.15,64.24,7.89M,-14.14%
2010-06-01,75.63,73.97,79.38,69.51,7.26M,2.24%
2010-07-01,78.95,75.37,79.69,71.09,6.21M,4.39%
