Date,Close,Open,High,Low,Vol.,Change %
2007-08-05,71.47,75.04,75.1,70.1,1.34M,-5.31%
2007-08-12,71.98,71.47,74.23,70.1,1.22M,0.71%
2007-08-19,71.09,71.77,71.77,68.63,734.82K,-1.24%
2007-08-26,74.04,71.04,74.44,70.2,928.10K,4.15%
2007-09-02,76.7,73.9,77.43,73.48,1.00M,3.59%
2007-09-09,79.1,76.46,80.36,75.52,1.39M,3.13%
2007-09-16,81.62,79.03,83.9,78.25,1.01M,3.19%
2007-09-23,81.66,81.3,83.76,78.44,1.38M,0.05%
2007-09-30,81.22,81.75,82.02,78.87,1.20M,-0.54%
2007-10-07,83.69,81.11,84.05,78.35,1.34M,3.04%
2007-10-14,88.6,83.91,90.07,83.5,1.28M,5.87%
2007-10-21,91.86,88.86,92.22,84.68,1.22M,3.68%
2007-10-28,95.93,91.72,96.24,88.92,1.59M,4.43%
2007-11-04,96.32,95.93,98.62,93.72,1.71M,0.41%
2007-11-11,95.1,96.01,96.2,90.13,1.39M,-1.27%
2007-11-18,98.18,93.88,99.29,93.16,896.44K,3.24%
2007-11-25,88.71,98.28,99.11,88.45,1.56M,-9.65%
2007-12-02,88.28,88.79,90.73,85.82,1.45M,-0.48%
2007-12-09,91.27,88.27,94.85,87.09,1.48M,3.39%
2007-12-16,93.31,91.43,93.84,88.88,736.12K,2.24%
2007-12-23,96.0,93.58,97.92,92.5,468.02K,2.88%
2007-12-30,97.91,96.12,100.09,94.73,808.76K,1.99%
2008-01-06,92.69,97.79,98.4,92.31,1.50M,-5.33%
2008-01-13,90.57,92.92,94.43,89.26,1.30M,-2.29%
2008-01-20,90.71,90.58,91.38,86.11,914.41K,0.15%
2008-01-27,88.96,90.62,92.71,88.46,1.32M,-1.93%
2008-02-03,91.77,88.66,91.98,86.24,1.41M,3.16%
2008-02-10,95.5,91.76,96.67,90.92,1.37M,4.06%
2008-02-17,98.81,95.37,101.32,95.23,811.09K,3.47%
2008-02-24,101.84,98.99,103.05,97.75,1.25M,3.07%
2008-03-02,105.15,101.63,106.54,98.87,1.69M,3.25%
2008-03-09,110.21,105.25,111.0,104.08,1.65M,4.81%
2008-03-16,101.84,110.1,111.8,98.65,911.52K,-7.59%
2008-03-23,105.62,101.7,108.22,99.13,1.40M,3.71%
2008-03-30,106.23,105.12,106.78,99.55,1.48M,0.58%
2008-04-06,110.14,106.12,112.21,105.86,1.47M,3.68%
2008-04-13,116.69,110.0,117.0,109.56,1.15M,5.95%
2008-04-20,118.52,116.93,119.9,114.25,1.04M,1.57%
2008-04-27,116.32,118.95,119.93,110.3,1.40M,-1.86%
2008-05-04,125.96,116.5,126.27,116.05,1.69M,8.29%
2008-05-11,126.29,125.84,127.82,120.75,1.72M,0.26%
2008-05-18,132.19,126.35,135.09,125.28,1.38M,4.67%
2008-05-25,127.35,131.68,133.65,124.67,1.43M,-3.66%
2008-06-01,138.54,127.63,139.12,121.61,1.78M,8.79%
2008-06-08,134.86,137.97,138.3,130.8,1.80M,-2.66%
2008-06-15,134.62,134.41,139.89,131.19,1.06M,-0.18%
2008-06-22,140.21,134.8,142.99,131.95,1.34M,4.15%
2008-06-29,145.29,140.6,145.85,139.17,939.42K,3.62%
2008-07-06,145.08,144.27,147.27,135.14,1.61M,-0.14%
2008-07-13,128.88,144.69,146.73,128.23,1.53M,-11.17%
2008-07-20,123.26,128.88,132.07,122.5,956.65K,-4.36%
2008-07-27,125.1,123.41,128.6,120.42,1.33M,1.49%
2008-08-03,115.2,125.98,126.35,114.62,1.52M,-7.91%
2008-08-10,113.77,115.2,117.46,111.34,1.47M,-1.24%
2008-08-17,114.59,113.94,122.04,111.64,958.02K,0.72%
2008-08-24,115.46,114.69,120.5,112.36,1.24M,0.76%
2008-08-31,106.23,116.65,118.6,105.13,1.15M,-7.99%
2008-09-07,101.18,107.75,109.89,99.99,1.57M,-4.75%
2008-09-14,104.55,101.0,105.25,90.51,1.43M,3.33%
2008-09-21,106.89,104.97,130.0,103.22,1.00M,2.24%
2008-09-28,93.88,106.89,106.91,91.3,1.24M,-12.17%
2008-10-05,77.7,92.5,93.02,77.09,1.58M,-17.23%
2008-10-12,71.85,80.12,84.83,68.57,1.12M,-7.53%
2008-10-19,64.15,72.16,76.12,62.65,944.99K,-10.72%
2008-10-26,67.81,64.78,70.6,61.3,1.31M,5.71%
2008-11-02,61.04,67.37,71.77,59.97,1.37M,-9.98%
2008-11-09,57.04,61.8,65.56,54.67,1.37M,-6.55%
2008-11-16,49.93,56.74,58.98,48.25,941.20K,-12.46%
2008-11-23,54.43,50.97,55.98,48.8,834.07K,9.01%
2008-11-30,40.81,54.62,54.62,40.5,1.23M,-25.02%
