Date,Close Prices,"ARIMA_50.0_(0, 1, 1)_Predictions",LSTM_65.0_Predictions
2/18/2015,60.53,62.28,
2/19/2015,60.21,60.61,
2/20/2015,60.22,60.22,
2/23/2015,58.9,60.21,
2/24/2015,58.66,58.95,
2/25/2015,61.63,58.67,
2/26/2015,60.05,61.48,
2/27/2015,62.58,60.11,
3/2/2015,59.54,62.45,
3/3/2015,61.02,59.68,
3/4/2015,60.55,60.94,
3/5/2015,60.48,60.56,
3/6/2015,59.73,60.48,
3/9/2015,58.53,59.76,
3/10/2015,56.39,58.58,
3/11/2015,57.54,56.49,
3/12/2015,57.08,57.48,
3/13/2015,54.67,57.09,
3/16/2015,53.44,54.78,
3/17/2015,53.43,53.5,
3/18/2015,55.91,53.42,
3/19/2015,54.43,55.77,
3/20/2015,55.32,54.49,
3/23/2015,55.92,55.27,
3/24/2015,55.11,55.88,
3/25/2015,56.48,55.14,
3/26/2015,59.19,56.4,
3/27/2015,56.41,59.04,
3/30/2015,56.29,56.54,
3/31/2015,55.11,56.29,
4/1/2015,57.1,55.16,
4/2/2015,54.95,56.99,
4/6/2015,58.12,55.05,
4/7/2015,59.1,57.94,
4/8/2015,55.55,59.03,
4/9/2015,56.57,55.73,
4/10/2015,57.87,56.51,
4/13/2015,57.93,57.78,
4/14/2015,58.43,57.91,
4/15/2015,60.32,58.39,
4/16/2015,60.4,60.2,
4/17/2015,63.45,60.38,
4/20/2015,63.45,63.27,
4/21/2015,62.08,63.43,
4/22/2015,62.73,62.15,
4/23/2015,64.85,62.69,
4/24/2015,65.28,64.73,
4/27/2015,64.83,65.24,
4/28/2015,64.64,64.85,
4/29/2015,65.84,64.65,
4/30/2015,66.78,65.77,
5/1/2015,66.46,66.72,
5/4/2015,66.45,66.47,
5/5/2015,67.52,66.45,
5/6/2015,67.77,67.46,
5/7/2015,65.54,67.75,
5/8/2015,65.39,65.66,
5/11/2015,64.91,65.4,
5/12/2015,66.86,64.93,
5/13/2015,66.81,66.75,
5/14/2015,66.59,66.8,
5/15/2015,66.57,66.6,
5/18/2015,66.27,66.57,
5/19/2015,64.02,66.28,
5/20/2015,65.03,64.14,
5/21/2015,66.54,64.98,
5/22/2015,65.37,66.45,
5/26/2015,63.72,65.42,
5/27/2015,62.06,63.81,
5/28/2015,62.58,62.15,
5/29/2015,65.56,62.55,
6/1/2015,64.88,65.39,
6/2/2015,65.49,64.9,
6/3/2015,63.8,65.45,
6/4/2015,62.03,63.88,
