Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions",LSTM_80.0_Predictions
1/1/2015,55.11,55.87,
4/1/2015,63.59,53.62,
7/1/2015,48.37,62.47,
10/1/2015,37.28,46.75,80.09
1/1/2016,39.6,35.33,80.32
4/1/2016,49.68,37.79,80.31
7/1/2016,49.06,48.26,80.1
10/1/2016,56.13,47.66,80.09
4/1/2017,47.92,54.99,79.98
7/1/2017,57.54,46.57,80.11
1/1/2018,70.27,56.5,79.96
10/1/2018,52.28,69.61,79.77
1/1/2019,68.39,51.16,80.01
4/1/2019,66.55,67.72,79.79
7/1/2019,60.78,65.85,79.8
10/1/2019,68.38,59.95,79.88
1/1/2020,22.74,67.76,79.78
4/1/2020,41.15,21.05,80.42
7/1/2020,40.95,39.92,80.31
10/1/2020,51.34,39.75,80.17
1/1/2021,63.54,50.4,80.07
4/1/2021,75.13,62.88,79.86
7/1/2021,78.52,74.73,79.7
10/1/2021,79.2,78.2,79.64
1/1/2022,107.91,78.9,79.61
4/1/2022,117.98,108.19,79.23
,,,
